Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate
Brown,RI,1310,89,22,13,"22,704",94
CalTech,CA,1415,100,25,6,"63,575",81
CMU,PA,1260,62,59,9,"25,026",72
Columbia,NY,1310,76,24,12,"31,510",88
Cornell,NY,1280,83,33,13,"21,864",90
Dartmouth,NH,1340,89,23,10,"32,162",95
Duke,NC,1315,90,30,12,"31,585",95
Georgetown,DC,1255,74,24,12,"20,126",92
Harvard,MA,1400,91,14,11,"39,525",97
JohnsHopkins,MD,1305,75,44,7,"58,691",87
MIT,MA,1380,94,30,10,"34,870",91
Northwestern,IL,1260,85,39,11,"28,052",89
NotreDame,IN,1255,81,42,13,"15,122",94
PennState,PA,1081,38,54,18,"10,185",80
Princeton,NJ,1375,91,14,8,"30,220",95
Purdue,IN,1005,28,90,19,"9,066",69
Stanford,CA,1360,90,20,12,"36,450",93
TexasA&M,TX,1075,49,67,25,"8,704",67
UCBerkeley,CA,1240,95,40,17,"15,140",78
UChicago,IL,1290,75,50,13,"38,380",87
UMichigan,MI,1180,65,68,16,"15,470",85
UPenn,PA,1285,80,36,11,"27,553",90
UVA,VA,1225,77,44,14,"13,349",92
UWisconsin,WI,1085,40,69,15,"11,857",71
Yale,CT,1375,95,19,11,"43,514",96
